LOW;Herald's Horn~Heroic Intervention~Hunting Wilds~Indatha Triome~Island~Karador, Ghost Chieftain~Ketria Triome~Kindred Boon~Kindred Discovery~Kira, Great Glass-Spinner~Kiri-Onna~Kokusho, the Evening Star~Krosan Verge~Lightning Greaves~Lose Focus~Morophon, the Boundless~Mountain~Myojin of Cleansing Fire~Myojin of Infinite Rage~Myojin of Life's Web~Myojin of Night's Reach~Myojin of Seeing Winds~Myriad Landscape~Nikko-Onna~Overgrown Tomb~Path of Ancestry~Plains~Prairie Stream~Rattlechains~Reflecting Pool~Rewind~Ruinous Ultimatum~Seedborn Muse~Seizan, Perverter of Truth~Sekki, Seasons' Guide~Skyshroud Claim~Sol Ring~Swamp~Swords to Plowshares~Tale's End~Tempt with Discovery~That Which Was Taken~Tomorrow, Azami's Familiar~Unwind~Yuki-Onna~Zagoth Triome~Kami of False Hope~Migration Path~Three Visits~Stomping Ground~Temple Garden~Vanquisher's Banner~Kami of the Crescent Moon~Imprisoned in the Moon~Smothering Tithe~Angel of Flight Alabaster~Approach of the Second Sun~Breeding Pool~Canopy Vista~Cinder Glade~Collective Voyage~Conflux~Cyclonic Rift~Door of Destinies~Drogskol Captain~Eerie Ultimatum~Ethereal Haze~Field of Ruin~Fist of Suns~Forest~Guardian of Faith~Heartbeat of Spring~Chaos Warp~Krosan Grip~Buried Ruin~Haru-Onna~Dictate of Karametra~Bounteous Kirin~Thief of Hope~Rhythm of the Wild~Vandalblast~Bojuka Bog~The World Tree~Scavenger Grounds~Arcane Signet~Mystic Sanctuary~Kodama's Reach~Cultivate~Command Tower~Farseek
LOW;Forest~Mountain~Island~Swamp~Plains~Reliquary Tower~Crucible of the Spirit Dragon~Sol Ring~Dragon's Hoard~Dragon Tempest~Primevals' Glorious Rebirth~Bear Umbra~Sarkhan, Dragonsoul~Dragonlord Atarka~Dragonlord Dromoka~Dragonlord Silumgar~Scourge of Valkas~Atarka, World Render~Bladewing the Risen~Kokusho, the Evening Star~Scion of the Ur-Dragon~Ramos, Dragon Engine~The World Tree~Cascading Cataracts~Dragonstorm~Herald's Horn~Growth Spiral~Blightstep Pathway // Searstep Pathway~Galazeth Prismari~Shadrix Silverquill~Velomachus Lorehold~Cryptic Gateway~Clearwater Pathway // Murkwater Pathway~Cragcrown Pathway // Timbercrown Pathway~Command Tower~Hengegate Pathway // Mistgate Pathway~Scion of Draco~Mirrorpool~Branchloft Pathway // Boulderloft Pathway~Emergence Zone~Riverglide Pathway // Lavaglide Pathway~Tibalt's Trickery~Arcane Signet~Voidslime~Old Gnawbone~Blessed Respite~Brightclimb Pathway // Grimclimb Pathway~Tiamat~Crux of Fate~Bard Class~Render Silent~Swords to Plowshares~Chaos Warp~Witch's Clinic~Tyrite Sanctum~Darkbore Pathway // Slitherbore Pathway~Barkchannel Pathway // Tidechannel Pathway~Dovin's Veto~Haunting Voyage~Red Elemental Blast~Path of Ancestry~Blue Elemental Blast~Counterspell~Sublime Epiphany~Explore~Kodama's Reach~Search for Tomorrow~Hellkite Courser~Trickbind~Mox Opal~Treasure Vault~Unsummon~Nesting Dragon~Sarkhan's Triumph~Hellkite Charger~Orb of Dragonkind~Unnatural Growth~Goldspan Dragon~Miirym, Sentinel Wyrm~Mirror Box~Earthquake Dragon~Reflecting Pool~Ganax, Astral Hunter~Opal Palace~Carnelian Orb of Dragonkind~Jade Orb of Dragonkind~Lathliss, Dragon Queen~Ancient Bronze Dragon~Traverse the Outlands~Ancient Copper Dragon~Disallow~Narset's Reversal~Skyclave Relic~Lose Focus
LOW;Belbe's Portal~Exsanguinate~Nature's Claim~Night's Whisper~Putrefy~Forest~Sanctum of Stone Fangs~Temple of Malady~Ugin, the Spirit Dragon~Solemn Simulacrum~Archfiend of Spite~Lord of the Void~Havoc Demon~Cryptolith Fragment // Aurora of Emrakul~Spawn of Mayhem~Retreat to Hagra~Ob Nixilis, Unshackled~Elbrus, the Binding Blade // Withengar Unbound~Grim Tutor~Talisman of Resilience~Bojuka Bog~Harvester of Souls~Mardu Shadowspear~Deathrite Shaman~Golgari Charm~Demon of Loathing~Rise of the Dark Realms~Shepherd of Rot~Pulse Tracker~Reaper from the Abyss~Kothophed, Soul Hoarder~Sword of the Animist~Thornbow Archer~Demon of Dark Schemes~Night Market Lookout~Diabolic Tutor~Liliana's Contract~Loyal Subordinate~Sower of Discord~Assassin's Trophy~Doom Whisperer~Vicious Conquistador~Demonlord Belzenlok~Yawgmoth's Vile Offering~Woodland Cemetery~Palace Siege~Rune-Scarred Demon~Heroic Intervention~Staff of Nin~Read the Bones~Whip of Erebos~Beast Within~Gilded Lotus~Leechridden Swamp~Command Tower~Undergrowth Stadium~Soul Shatter~Skyclave Relic~Court of Ambition~Rakshasa Debaser~Cultivate~Burning-Rune Demon~Necroblossom Snarl~Llanowar Wastes~Myriad Landscape~Tainted Wood~Swamp~Arcane Signet~Torment of Hailfire~Toxic Deluge~Overseer of the Damned~Bloodgift Demon~Twilight Mire~Vilis, Broker of Blood~Pestilence~Bontu's Monument~Vicious Rumors
LOW;Laelia, the Blade Reforged~Aethersnipe~Crashing Footfalls~Dazzling Sphinx~Temur Sabertooth~Omnath, Locus of Rage~Skullwinder~Ravenform~Flamekin Village~Fabled Passage~Tibalt's Trickery~Illuna, Apex of Wishes~Blasphemous Act~Growth Spiral~Surrak Dragonclaw~Risen Reef~Shardless Agent~Bloodbraid Elf~Throes of Chaos~Wild-Magic Sorcerer~Natural Reclamation~Volcanic Torrent~Etherium-Horn Sorcerer~Imoti, Celebrant of Bounty~Sakashima's Protege~Maelstrom Colossus~Annoyed Altisaur~Three Visits~Nature's Lore~Crumbling Vestige~Pathbreaker Ibex~Parcelbeast~Cultivate~Rattleclaw Mystic~Bane of Progress~Temple of Mystery~Temple of Epiphany~Coiling Oracle~Explore~Harrow~Arcane Signet~Svella, Ice Shaper~Fire-Lit Thicket~Flooded Grove~Valakut Exploration~Greenwarden of Murasa~Escape to the Wilds~Island~Mountain~Turntimber Symbiosis // Turntimber, Serpentine Wood~Izzet Boilerworks~Gruul Turf~Simic Growth Chamber~Command Tower~Frontier Bivouac~Ketria Triome~Chaos Warp~Inferno Titan~Genesis Ultimatum~Hullbreaker Horror~Sol Ring~Beanstalk Giant // Fertile Footsteps~Forest~Sakura-Tribe Elder~Foundation Breaker~Violent Outburst~Apex Devastator~Incubation // Incongruity~Corrupted Conscience~Struggle // Survive~Kodama's Reach~Temple of Abandon~Stomping Ground~Steam Vents~Breeding Pool~Spitebellows~Temur Ascendancy~Resculpt~Forceful Denial~Aurora Phoenix~Sweet-Gum Recluse~Maelstrom Wanderer
LOW;Solemn Simulacrum~Blasphemous Act~Darksteel Ingot~Pir, Imaginative Rascal~Skyshroud Claim~Toothy, Imaginary Friend~Tireless Tracker~Overwhelming Stampede~Whispersilk Cloak~Bojuka Bog~Lightning Greaves~Squirrel Nest~Rampant Growth~Rhystic Study~Forest~Heliod's Intervention~Mountain~Plains~Swamp~Uro, Titan of Nature's Wrath~Doubling Season~Ketria Triome~Ruinous Ultimatum~Zagoth Triome~Sol Ring~Bident of Thassa~Rejuvenating Springs~Command Tower~Vault of Champions~Training Center~Fated Return~Jeska's Will~Boros Charm~Akroma's Will~Chromatic Lantern~Swarmyard~Saw It Coming~The World Tree~Path of Ancestry~Beast Within~Krosan Grip~Putrefy~Chaos Warp~Despark~Negate~Magma Opus~Galazeth Prismari~Harness Infinity~Nature's Lore~Squirrel Sovereign~Junk Winder~Lonis, Cryptozoologist~Tireless Provisioner~Mirari's Wake~Chatterfang, Squirrel General~Dryad of the Ilysian Grove~Heroic Intervention~Arcane Signet~Deserted Beach~Overgrown Farmland~Shipwreck Marsh~Eloise, Nephalia Sleuth~Hargilde, Kindly Runechanter~Bjorna, Nightfall Alchemist~Wernog, Rider's Chaplain~Elmar, Ulvenwald Informant~Havengul Laboratory // Havengul Mystery~Dreamroot Cascade~Sundown Pass~Stormcarved Coast~Glorious Sunrise~Shattered Sanctum~Rockfall Vale~Ravenous Squirrel~Cultivate~Squirrel Mob~Chatter of the Squirrel~Kodama's Reach~Reliquary Tower~In Garruk's Wake~Spectator Seating~Farseek~Indatha Triome~Genesis Ultimatum~Eerie Ultimatum~Cyclonic Rift~Island~Sophina, Spearsage Deserter~Haunted Ridge~Counterspell~Undergrowth Stadium~Rakdos Charm~Teferi's Protection~Swords to Plowshares
MID;Falkenrath Pit Fighter~Urborg, Tomb of Yawgmoth~Vampire Socialite~Damn~Teferi's Protection~Talisman of Hierarchy~Skullclamp~Fetid Heath~Graven Cairns~Boros Charm~Bloodline Keeper // Lord of Lineage~Captivating Vampire~Drana, Liberator of Malakir~Twilight Prophet~Vanishing Verse~Savai Triome~Diabolic Intent~Exquisite Blood~Arid Mesa~Bloodstained Mire~Exotic Orchard~City of Brass~Mana Confluence~Command Tower~Fire Covenant~Sanctum Seeker~Stinging Study~Reconnaissance~Anowon, the Ruin Sage~Necropolis Regent~Insolent Neonate~Scavenger Grounds~Welcoming Vampire~Austere Command~Henrika Domnathi // Henrika, Infernal Seer~Edgar, Charmed Groom // Edgar Markov's Coffin~Florian, Voldaren Scion~Impact Tremors~Coat of Arms~Bolas's Citadel~Stromkirk Noble~Pact of the Serpent~Smothering Tithe~Unclaimed Territory~Vault of Champions~Despark~Deadly Dispute~Olivia Voldaren~New Blood~Legion's Landing // Adanto, the First Fort~Nullpriest of Oblivion~Shared Animosity~Champion of Dusk~Rakish Heir~Knight of the Ebon Legion~Nighthawk Scavenger~Vampire of the Dire Moon~Fracture~Village Rites~Stromkirk Captain~Legion Lieutenant~Wear // Tear~Cordial Vampire~Orzhov Signet~Talisman of Conviction~Rakdos Signet~Talisman of Indulgence~Phyrexian Tower~Urza's Saga~Luxury Suite~Abrade~Wheel of Misfortune~Jeweled Lotus~Swords to Plowshares~Cavern of Souls~Pyroblast~Necropotence~Enlightened Tutor~Arcane Signet~Fellwar Stone~Forbidden Orchard~Vampiric Tutor~Ancient Tomb~Sol Ring~Mountain~Swamp~Plains~Godless Shrine~Sacred Foundry~Blood Crypt~Scrubland~Plateau~Badlands~Scalding Tarn~Wooded Foothills~Marsh Flats~Windswept Heath
MID;Sokenzan, Crucible of Defiance~Kodama's Reach~Veil of Summer~Boseiju, Who Endures~Yavimaya, Cradle of Growth~Sol Ring~Spire Garden~Stomping Ground~Sylvan Library~Wooded Foothills~Worldly Tutor~Dryad Arbor~Endurance~Craterhoof Behemoth~Green Sun's Zenith~Tangled Florahedron // Tangled Vale~Highland Forest~Tibalt's Trickery~Apex Altisaur~Wood Elves~Nissa, Who Shakes the World~Vorinclex, Monstrous Raider~Ghalta, Primal Hunger~Garruk, Primal Hunter~Toski, Bearer of Secrets~Worldspine Wurm~Castle Garenbrig~Goreclaw, Terror of Qal Sisma~Prowling Serpopard~Azusa, Lost but Seeking~Worldfire~Natural Order~Garruk, Caller of Beasts~Beast Whisperer~Pyroblast~Guttural Response~Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun~Chord of Calling~Misty Rainforest~Vivien, Monsters' Advocate~Yidaro, Wandering Monster~Greater Good~Ramunap Excavator~Temple of Abandon~Snow-Covered Mountain~Snow-Covered Forest~Noxious Revival~Bane of Progress~Return of the Wildspeaker~Okina, Temple to the Grandfathers~Nature's Lore~Mosswort Bridge~Haven of the Spirit Dragon~Goldspan Dragon~Garruk's Uprising~Dragonlord Atarka~Dragonborn Champion~Cinder Glade~Arcane Signet~Anger~Farseek~Bala Ged Recovery // Bala Ged Sanctuary~Birds of Paradise~Three Visits~Sakura-Tribe Elder~Ugin, the Spirit Dragon~Klauth's Will~Path of Ancestry~Bonders' Enclave~Harmonize~Elemental Bond~Eternal Witness~Reliquary Tower~Rishkar's Expertise~Rampant Growth~Kessig Wolf Run~Chaos Warp~Beast Within~Cultivate~Skyshroud Claim~Rhythm of the Wild~Blasphemous Act~Rootbound Crag~Decimate~Command Tower~Scalding Tarn~Savage Ventmaw~Soul's Majesty
MID;Rushblade Commander~Golgari Signet~Stomping Ground~Aven Wind Guide~Grand Warlord Radha~Skullclamp~Rampant Growth~Tajuru Paragon~Smothering Tithe~Boros Signet~Sol Ring~Rubblebelt Raiders~Savannah~Volcanic Island~Chaos Warp~Overgrown Tomb~Rhystic Study~Radha, Heir to Keld~Mindblade Render~Hallowed Fountain~Simic Signet~Decorated Champion~Bloodlust Inciter~Goblin Cratermaker~Scrubland~Return to Nature~Manic Vandal~Stonework Packbeast~Three Visits~Phyrexian Arena~Lightning Greaves~Ogre Battledriver~Kargan Intimidator~Sacred Foundry~Kruin Striker~Nature's Claim~Dreadhorde Butcher~Underground Sea~Marisi's Twinclaws~Thrasher Brute~Song of Freyalise~Whispersilk Cloak~Cyclonic Rift~Chief of the Scale~Cultivate~Helm of the Host~Fervor~Skyshroud Claim~Sublime Exhalation~Temple Garden~Gruul Signet~Flameblade Adept~Red Elemental Blast~Farseek~Goblin Motivator~Kodama's Reach~Lovisa Coldeyes~Rakdos Signet~Plateau~Vampiric Tutor~Command Tower~Darksteel Plate~Back to Nature~Nissa's Expedition~Champion of Lambholt~Badlands~Blasphemous Act~Combat Celebrant~Boldwyr Intimidator~Bayou~Blood Crypt~Steam Vents~Izzet Signet~Tundra~Watery Grave~Beast Within~Swiftfoot Boots~Godless Shrine~Forest~Mountain~Fierce Guardianship~Misty Rainforest~Island~Wooded Foothills~Verdant Catacombs~Swamp~Plains~Sylvan Library~Jetmir, Nexus of Revels~Cascading Cataracts
LOW;Nightmare Shepherd~Castle Locthwain~Fabled Passage~Hushbringer~Cauldron of Souls~Kitesail Freebooter~Plains~Reconnaissance~Basilica Screecher~Selfless Spirit~Awaken the Erstwhile~Godless Shrine~Smothering Tithe~Dreamstealer~Hope of Ghirapur~Drana, Liberator of Malakir~Vault of the Archangel~Tomik, Distinguished Advokist~Grim Tutor~Temple of Silence~Silent Clearing~Talisman of Hierarchy~Winds of Abandon~Bojuka Bog~Dismantling Wave~Knight of the White Orchid~Mirran Crusader~Phyrexian Crusader~Shadowspear~Shizo, Death's Storehouse~The Ozolith~Duelist's Heritage~Oona's Blackguard~Dire Tactics~Shinewend~Whispersilk Cloak~Retribution of the Ancients~Caves of Koilos~Twilight Prophet~Anguished Unmaking~Mortify~Tainted Field~Fetid Heath~Kinjalli's Sunwing~Isolated Chapel~Orzhov Signet~Sol Ring~Teferi's Protection~Swords to Plowshares~Debt to the Deathless~Lightning Greaves~Needle Specter~Command Tower~Vault of Champions~Brightclimb Pathway // Grimclimb Pathway~Sejiri Shelter // Sejiri Glacier~Soul Shatter~Hagra Mauling // Hagra Broodpit~Archon of Emeria~Malakir Rebirth // Malakir Mire~Path of Ancestry~Snowfield Sinkhole~Reidane, God of the Worthy // Valkmira, Protector's Shield~Nether Traitor~Shineshadow Snarl~Strict Proctor~Secret Rendezvous~Blot Out the Sky~Monologue Tax~Inkshield~Tempting Contract~Felisa, Fang of Silverquill~Promise of Loyalty~Mikokoro, Center of the Sea~Tragic Arrogance~Marsh Flats~Baleful Mastery~Shadrix Silverquill~Swamp~Esper Sentinel~Vindicate~Damn~Dauthi Voidwalker~Arcane Signet~Despark~Exotic Orchard~Utter End~Eiganjo Castle~Will-o'-the-Wisp~Rogue's Passage~Remorseful Cleric~Vampire Nighthawk
LOW;Castle Vantress~Command Tower~Fabled Passage~All Is Dust~Brainstorm~Chaos Warp~Counterspell~Cultivate~Explore~Farseek~Boros Guildgate~Blasphemous Act~Duneblast~Disrupt Decorum~Beacon of Unrest~Far Wanderings~Breeding Pool~Dimir Guildgate~Azorius Guildgate~Call the Skybreaker~Dig Through Time~Circuitous Route~Arid Mesa~Cyclonic Rift~Bring to Light~Bond of Insight~Energy Arc~Brass's Bounty~Behold the Multiverse~Elemental Masterpiece~Eureka Moment~Creative Technique~Faithful Mending~Arcane Infusion~Bleed Dry~Seize the Storm~Galvanic Iteration~Unexpected Windfall~Hard Evidence~Sudden Edict~Yavimaya, Cradle of Growth~Theoretical Duplication~Rousing Refrain~Resculpt~Solve the Equation~The World Tree~Reshape the Earth~Silundi Vision // Silundi Isle~Yawgmoth's Vile Offering~Saheeli's Artistry~Slaughter the Strong~Reins of Power~Ruinous Ultimatum~Ponder~Volcanic Vision~Time Wipe~Narset's Reversal~Finale of Promise~Hour of Revelation~Temple Garden~Overgrown Tomb~Growth Spiral~Vampiric Tutor~Selesnya Guildgate~Krosan Grip~Stomping Ground~Sacred Foundry~Orzhov Guildgate~Gruul Guildgate~Godless Shrine~Kodama's Reach~Mana Geyser~Simic Guildgate~Rakdos Guildgate~Izzet Guildgate~In Garruk's Wake~Increasing Vengeance~Golgari Guildgate~Tale's End~Field of the Dead~Rise from the Tides~Sublime Epiphany~Treasure Cruise~Search for Tomorrow~Rampant Growth~Migratory Route~Gateway Plaza~Maze's End~Swamp~Forest~Plains~Mountain~Island
